Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback
H6K7,24.9402809,Calvin Klein,Dresses,Not Good,1.332050121,245,Preppy,"M, L, XL",L,Red,Very High,59,W,Camila Coelho,Summer,Evening,Neutral,Negative,Neutral
P3I3,44.35236016,Mulberry,Tops,Worst,2.129437039,288,Vintage,"M, L, XL",M,Black,High,42,Fashionista,Olivia Palermo,Winter,Daytime,Unknown,Mixed,Mixed
R4B4,89.22424409,Jigsaw,Lingerie,Best,4.364723833,311,Formal,"S, M, L",S,Red,Low,32,Marie Claire,Camila Coelho,Summer,Evening,Negative,Neutral,Neutral
C6T0,92.04931093,Mulberry,Dresses,Worst,3.351565739,242,Preppy,"M, L, XL",M,Black,Above Average,60,Glamour,Aimee Song,Winter,Evening,Neutral,Mixed,Unknown
I9S2,35.93935333,Calvin Klein,Tops,Very Bad,4.522662414,213,Bohemian,"S, M, L",M,Red,Significant,25,Cosmopolitan,Negin Mirsalehi,Winter,Daytime,Negative,Neutral,Neutral
G3T5,48.90633902,Tommy Hilfiger,Tops,Bad,1.509102575,464,Streetwear,"S, M, L",XL,Black,Below Average,50,Cosmopolitan,Camila Coelho,Fall,Weekend,Negative,Neutral,Neutral
Q7D9,35.6071497,Ted Baker,Tops,Not Good,3.295964678,280,Streetwear,"S, L, XL",M,Green,Very Low,48,Grazia,Kendall Jenner,Spring/Summer,Evening,Neutral,Neutral,Positive
D9Y5,53.4567278,Ralph Lauren,Lingerie,Worst,4.788534978,403,Bohemian,"M, L, XL",M,Green,High,32,Vogue,Negin Mirsalehi,Winter,Holiday,Unknown,Unknown,Negative
F4P1,19.75644424,Burberry,Activewear,Worst,1.423389147,238,Sporty,"M, L, XL",XL,Green,Above Average,49,Glamour,Julie Sariñana,Spring/Summer,Evening,Neutral,Neutral,Negative
G1O2,85.81817896,Mulberry,Activewear,Good,1.491566171,8,Casual,"S, L, XL",XL,Blue,Low,41,Fashionista,Chiara Ferragni,Fall/Winter,Holiday,Mixed,Unknown,Positive
U4A3,80.55814034,Alexander McQueen,Outerwear,Best,2.931827664,62,Casual,"M, L, XL",L,Green,Average,58,Glamour,Negin Mirsalehi,Winter,Holiday,Mixed,Positive,Other
T6D8,33.47523203,Burberry,Dresses,Very Good,3.330265428,403,Preppy,"S, L, XL",S,Green,Medium,41,Grazia,Song of Style,Fall,Evening,Positive,Neutral,Mixed
Z6V1,35.05494803,Calvin Klein,Jewelry,Not Good,4.005756919,151,Formal,"S, L, XL",XL,Blue,Low,20,Grazia,Gigi Hadid,Fall/Winter,Evening,Negative,Mixed,Unknown
Z6Z3,82.31998753,Mulberry,Accessories,Worst,4.930013896,266,Preppy,"M, L, XL",M,Green,High,34,InStyle,Aimee Song,Spring,Nighttime,Unknown,Negative,Other
F2K2,56.65477107,Ralph Lauren,Swimwear,Very Bad,1.592797612,414,Sporty,"S, L, XL",S,Red,Below Average,28,Harper's Bazaar,Gigi Hadid,Spring,Daytime,Negative,Neutral,Positive
P2F2,81.70977451,Mulberry,Footwear,Bad,2.682270636,57,Casual,"S, L, XL",S,Blue,Average,54,W,Leandra Medine,Spring/Summer,Holiday,Mixed,Positive,Unknown
O7G1,42.85534644,Ted Baker,Activewear,Good,3.700593236,46,Streetwear,"S, L, XL",S,Green,Low,45,Harper's Bazaar,Gigi Hadid,Fall/Winter,Daytime,Neutral,Unknown,Unknown
H6V9,76.91778348,Alexander McQueen,Accessories,Bad,3.962504899,426,Casual,"S, M, L",M,Blue,Average,25,Cosmopolitan,Kendall Jenner,Spring/Summer,Weekend,Positive,Unknown,Unknown
Z9V4,63.01223213,Tommy Hilfiger,Footwear,Very Good,2.411407659,383,Glamorous,"M, L, XL",L,Green,Average,45,Elle,Olivia Palermo,Summer,Holiday,Mixed,Positive,Other
W3T3,91.57025567,Ralph Lauren,Bottoms,Worst,4.380592967,350,Glamorous,"S, M, L",M,Red,Very Low,19,Fashionista,Camila Coelho,Winter,Holiday,Neutral,Positive,Negative
M7V1,15.84245615,Ralph Lauren,Dresses,Not Good,2.936335393,301,Formal,"M, L, XL",XL,Blue,Above Average,20,Elle,Song of Style,Fall,Nighttime,Mixed,Negative,Neutral
J1M6,57.59706152,Alexander McQueen,Accessories,Very Bad,3.412425608,425,Edgy,"S, L, XL",S,Red,Medium,23,InStyle,Song of Style,Winter,Nighttime,Neutral,Mixed,Neutral
R9Y7,93.19779653,Alexander McQueen,Footwear,Not Good,2.696325665,116,Casual,"S, L, XL",L,Red,Average,49,Glamour,Aimee Song,Winter,Nighttime,Positive,Positive,Other
U2J2,56.13538727,Alexander McQueen,Accessories,Not Good,1.582358715,217,Casual,"S, L, XL",M,Black,Above Average,63,Elle,Negin Mirsalehi,Spring/Summer,Weekend,Positive,Negative,Other
F1W3,37.74609036,Tommy Hilfiger,Dresses,Best,2.517234058,398,Glamorous,"S, L, XL",L,Black,Negligible,55,Cosmopolitan,Kendall Jenner,Summer,Evening,Neutral,Negative,Positive
Y6T8,60.71820876,Alexander McQueen,Accessories,Best,2.330578485,250,Edgy,"M, L, XL",M,Black,Average,50,Elle,Gigi Hadid,Spring,Holiday,Unknown,Mixed,Other
I4Q2,25.54668582,Calvin Klein,Outerwear,Good,2.727319996,419,Minimalist,"S, L, XL",L,Red,High,43,Vogue,Gigi Hadid,Spring/Summer,Holiday,Unknown,Mixed,Unknown
T8A7,10.65559907,Alexander McQueen,Activewear,Best,3.451989028,497,Sporty,"S, L, XL",S,Blue,Low,57,Fashionista,Kendall Jenner,Fall,Nighttime,Negative,Positive,Other
K9A6,36.64539979,Ralph Lauren,Activewear,Good,2.900347796,487,Sporty,"S, M, L",S,Blue,Very Low,32,Cosmopolitan,Song of Style,Fall,Weekend,Neutral,Neutral,Positive
F4V3,52.84902102,Ralph Lauren,Footwear,Bad,4.068132628,5,Glamorous,"M, L, XL",L,Black,Very High,25,Glamour,Song of Style,Winter,Holiday,Unknown,Unknown,Neutral
W4G1,21.54548548,Ralph Lauren,Bottoms,Bad,1.149075438,292,Bohemian,"M, L, XL",L,Green,Medium,45,Glamour,Julie Sariñana,Spring,Holiday,Mixed,Mixed,Unknown
F3Z6,38.04053036,Alexander McQueen,Outerwear,Best,1.371545061,4,Edgy,"M, L, XL",S,Green,High,55,Harper's Bazaar,Olivia Palermo,Spring,Evening,Mixed,Negative,Other
Q5I5,47.82124518,Tommy Hilfiger,Tops,Best,3.835095728,404,Minimalist,"M, L, XL",L,Blue,Very High,33,Grazia,Kendall Jenner,Spring,Evening,Unknown,Unknown,Neutral
M8D3,53.91135835,Mulberry,Bottoms,Not Good,2.298178135,151,Sporty,"S, M, L",S,Green,Very High,55,Glamour,Olivia Palermo,Fall,Holiday,Unknown,Unknown,Mixed
J9T2,73.25653361,Burberry,Tops,Bad,2.73984122,197,Casual,"M, L, XL",S,Black,Below Average,35,Fashionista,Kendall Jenner,Winter,Evening,Negative,Unknown,Mixed
